pseudo_lor,rho,tau,negentropy
0.03 , 2.8193582541913287e-05 , 1.8795722344977506e-05 , -6.802394759335491
0.06 , 0.01188331700161327 , 0.00792237796563533 , -6.802322948879974
0.09 , 0.021861665993659685 , 0.014575404682531046 , -6.802154157019115
0.12 , 0.03183185737804273 , 0.021224094572898977 , -6.8018857137515445
0.15 , 0.04179441734969669 , 0.027869270633413823 , -6.8015176985881505
0.18 , 0.05174584154900708 , 0.03450906583991653 , -6.801050334254457
0.21 , 0.06168411293141651 , 0.041142601953155 , -6.800483843474369
0.24 , 0.07160560878783961 , 0.04776792507483163 , -6.7998185962453555
0.27 , 0.08150790868391944 , 0.054383878490856574 , -6.799054961103039
0.30000000000000004 , 0.09138792545443186 , 0.060988854331584075 , -6.798193417124355
0.4 , 0.12412695153648756 , 0.08290951607250752 , -6.794621427110946
0.5 , 0.15649160036014775 , 0.1046443184110305 , -6.789991492595209
0.6000000000000001 , 0.18838712296078364 , 0.12614464645637946 , -6.784334603179394
0.7000000000000001 , 0.21972757345867278 , 0.14736630158688857 , -6.777687703321406
0.8 , 0.25043242393321075 , 0.16826701814412026 , -6.770093714512691
0.9 , 0.2804309624549677 , 0.18880927986822182 , -6.761600001882406
1.0 , 0.30966127581253655 , 0.20895954796560412 , -6.752257760694432
1.5 , 0.4427526233883554 , 0.3029449391894613 , -6.694772672010558
2.0 , 0.5524054531558407 , 0.3844532668886794 , -6.624507263335025
2.5 , 0.6396000999234437 , 0.45347295354327544 , -6.547699681482797
2.6 , 0.6546127960101773 , 0.46587552291625434 , -6.531985733133387
2.7 , 0.6688871445150464 , 0.4778400583976111 , -6.516225994410418
2.8 , 0.6824548730143059 , 0.4893804588567138 , -6.500445499549186
2.9 , 0.6953477171681715 , 0.5005109232818683 , -6.484666758659342
3.0 , 0.7075978586068292 , 0.5112464028250919 , -6.468909018511801
3.1 , 0.7192350113858086 , 0.5216002339682975 , -6.453191728268908
3.2 , 0.7302899970970369 , 0.5315871603764841 , -6.437530130750667
3.3 , 0.7407915562778289 , 0.5412206924421028 , -6.421939240510029
3.4 , 0.7507687862612336 , 0.5505152133261305 , -6.406430577924698
3.5 , 0.7602488336326998 , 0.5594840082304717 , -6.391015371865937
3.6 , 0.769257915002826 , 0.5681401412803727 , -6.375703246856919
3.7 , 0.7778212493663241 , 0.5764963999752426 , -6.3605023630615865
3.8 , 0.7859633507943911 , 0.5845655638779795 , -6.345418957594238
3.9 , 0.7937066453755723 , 0.5923591195759574 , -6.330459823583324
4.0 , 0.8010735019673296 , 0.5998891123750032 , -6.315628921588553
4.1 , 0.8080842190893234 , 0.607166253081646 , -6.3009310872723
4.2 , 0.8147583840083388 , 0.6142011565863073 , -6.2863697507292
4.3 , 0.8211148709200242 , 0.6210043338383655 , -6.271946956053632
4.4 , 0.8271712225075405 , 0.6275855663833831 , -6.257664738247894
4.5 , 0.832944010141422 , 0.6339542196146905 , -6.243524581874038
5.0 , 0.8580698798393778 , 0.6629068938521578 , -6.174980128600694
5.5 , 0.8781011685863003 , 0.6877250843582297 , -6.110001903993817
6.0 , 0.894257865842154 , 0.7091806527804856 , -6.048450569523237
6.5 , 0.9074358738187849 , 0.7278760152105925 , -5.990134133818358
7.0 , 0.9182956883789866 , 0.7442827184576697 , -5.934848879059533
7.5 , 0.9273074379331818 , 0.7587531621776448 , -5.882468033946948
8.0 , 0.9347537030781448 , 0.7715282462109969 , -5.832947944779827
8.5 , 0.9408338608114324 , 0.7828055158061913 , -5.786046424396156
9.0 , 0.9457011448381647 , 0.7927292256336554 , -5.7416243464707755
9.5 , 0.9495869827375374 , 0.8014939667467658 , -5.699452419220516
19.5 , 0.9834721377809976 , 0.8901237093216237 , -5.10486667130268
29.5 , 0.9918224058979583 , 0.9209370776035674 , -4.756449506988647
